,userName,date,rating,review,title,isEdited,developerResponse
10,Divin1605,11-02-2021 05:50,1,"Hi , I got to know about this Indian app and installed in my iOS device to start using it. But as soon as I installed, i asked me to select language, I did and then I entered my mobile number as prompted. It sent an OTP, but I have tried many times to enter the OTP which I got to my entered mobile number but it kept showing as invalid OTP. Initial basic errors have to be rectified.
Usually Indian apps are always considered to be low rated and this actually proves this statement. Please be sure to in good hands in these silly issues before launching the app. It may ruin our reputation",OTP error while signing up,FALSE,"{'id': 21128193, 'body': ""Dear user,\nGreetings from Koo App. Our apologies for the inconvenience. This issue has been resolved. We received 20 times more downloads than usual, due to this sudden spike the OTP system did not work for some users. You can try logging/reinstalling into the app again in case you haven't. If you are satisfied kindly help us with a 5 star to reach millions of fellow indians like you. :-) Anything less than a 5 star will seriously reduce our reach. Reach out to us at Akhilesh@kooapp.com."", 'modified': '2021-02-18T04:33:30Z'}"
11,piyu.byahatti,17-02-2021 22:08,5,"First of all, kudos for developing this app. As a Software Engineer I know the pain of building something huge from the scratch and make it scalable. 
I really hope to be on this platform soon and interact, but the iOS version doesn’t have German number verification. I hope this will available soon :)",German number verification unavailable,FALSE,
12,ozz175374,11-02-2021 04:26,5,"I have downloaded the but after downloading 
1. when I was trying to verify the app with mob number it was not taking it ahead 
2.after triggering otp on my mobile number same was not acceptable on app.

These issues are not minor, please do some more sanity testing and uat",Feedback while creating account,FALSE,
13,mahatosan,10-02-2021 08:12,5,"The user interface is cool and the best part is it supports many languages. I can write in Hindi very smoothly. 
suggestions: Few improvement areas like hashtag suggestion and in search. Include at least one unique feature as a difference maker from others.",Super interface and many languages,FALSE,
14,Alex Hill YT,06-03-2021 05:41,5,"Hey, I would like to show some light on the bugs I encountered on my iPhone XR

!!Bugs!!
1. When you click on profile (left-hand top) it says “Offline, please check your internet connection”.
2. When you try to edit your name and save it the error comes up “Failed to save”.
3. When you click on someone else’s profile it doesn't open up and the page just buffers forever. 

!!Suggestions!!
1. Dark Mode
2. Fix the bugs
3. Add more categories for different people.
4. Limit to the use of hashtags per tweets would
be great! As people are spamming hashtags.",Buggy but it’s new!!,FALSE,
15,insaan man,27-06-2021 10:45,4,"People may say that it’s an app closely affiliated with a party, it’s not
Politicians from all parties are here
My issues with the app are:

The dark mode was promised in April, please release at least a beta version of it somewhere like GitHub 

I have heard that the Assamese language on koo isnt working correctly, i.e., Assamese version was made by Bengali translators, I would like if you guys investigated it, I myself can’t double check as I don’t understand Assamese

The feed should be completely renewed after a certain amount of time, my recommendation is ~30 mins, when the person refreshes their feed, it shows them a completely new feed",The app itself is fine,FALSE,
16,reply2nitish,09-02-2021 06:42,4,"Although I have given 4 star but this app needs drastic improvement in UI/UX and there are so many bugs which developer needs to fix at rapid pace to capture the current market.

- One of the worst bug is that search is not working and not able to find persons or group. Even after typing full name. This happens with 5-6 profiles that I have tried. Others ade facing similar issues.

- UI/Ux is very poor and it is not interactive. I got confused most of the time. 

- Theme should be changed to reflect some another color.

- And why I am getting Hindi at every place when I have selected English.",Need lots of improvement,FALSE,
17,Gauti1100,11-02-2021 04:59,1,"Thought this would be a great app and downloaded it only to find that its broken..The problems started why creating an accont itself..Its sending a otp to the number and when we enter the otp,its saying that the otp that they sent was invalid.(ironic).Tried resending it again and again and again and finally after multiple attempts,it accepted the otp and the app itself is buggy,need major improvements and something new for users to stick on to Koo ! Else,its just a bad twitter rip-off",Bad Indian Version Of Twitter,FALSE,"{'id': 21128325, 'body': ""Dear user,\nGreetings from Koo App. Our apologies for the inconvenience. This issue has been resolved. We received 20 times more downloads than usual, due to this sudden spike the OTP system did not work for some users. You can try logging/reinstalling into the app again in case you haven't. If you are satisfied kindly help us with a 5 star to reach millions of fellow indians like you. :-) Anything less than a 5 star will seriously reduce our reach. Reach out to us at Akhilesh@kooapp.com."", 'modified': '2021-02-18T04:43:31Z'}"
18,Jpksjadon,14-09-2021 15:38,5,In true sense koo is an app which makes it feel that we are able to share what we are sharing with our social media friends the way we want and it is very beautifully designed no complications at all. I liked very much.,Fabulous App,FALSE,"{'id': 25178563, 'body': 'Hey user, thanks for the rating. We are glad you love the app, stay tuned for more amazing and unique features in the coming updates. Reach us at redressal@kooapp.com or whatsapp us at 97608-35380 for any feedback/ queries. Your Koo fam', 'modified': '2021-09-18T10:29:54Z'}"
19,Raghuveer singh,11-02-2021 16:03,5,"In case of same of fake account we can’t find is account is real or fake so please show verified mark every where on profile page , on search page also show verified tick",Please mention verified account yellow mark every where on profile,FALSE,
20,Chaitanya Tiwari,02-10-2021 16:54,4,Just a suggestion for cosmetic change. Like should be faster and quick. And reekoo button could be more catchy. Try greentick ✅ instead of yellow for verified profiles it will make more impact. Try different colour combinations for page background. I find more yellows there.,Improvisation needs in like and reekoo,FALSE,"{'id': 25468541, 'body': ""Hi, thanks for your input. We're always looking for ways to improve the app experience. If you would like to share more, feel free to drop us a mail at redressal@kooapp.com anytime! We look forward to hearing from you! ~Your Koo fam."", 'modified': '2021-10-04T05:03:40Z'}"
21,hckukreti,07-06-2021 06:04,5,Wonderful initiative. I was waiting for this app from a long time. Apple version needs some improvement as I am having a login problem to my previously created handle as “hckukreti”. Details of problem is already sent by mail.,Great initiative for Indian app,FALSE,
22,saporshi das,14-02-2021 14:31,3,"I joined Koo as I hunk it’s our app. 
But various points Koo need to improve if they want to retain its base. It’s easy to get people to download it but it’s hard to retain them. I will wait and give you all time.

1. Search doesn’t work. My wife downloaded the app and can’t even find me though I have over 3.2 k followers.

2. Can’t even search your name in any of the search.

3. It logs you out just like that.

4. Uploading pic and videos are pain

5. Not sure what alogarithem is used to define popular profile. My wife searched and profile having 500 followers are there in the list but profiles having few thousand followers are missing. 

We will wait and give you time. 

Jaihind",GOOD BEGINNING,FALSE,
23,Ashishrana1985,17-02-2021 04:37,5,"Koo app needs to develop the app for few more years to make it intuitive and easy to use.
More and more resources will be required as people are signing up due to increased demand.
It will be serious contender to Twitter if it keeps on working flawlessly.","New, Slow but future",FALSE,
24,neeta srivastava,09-09-2021 15:33,5,"Very frustrating to even get my message/ complaint across, leave alone accessing your app which is not connecting to internet since today morning","App Not connecting at all , no issue with my internet",FALSE,"{'id': 25178686, 'body': ""Hey Neeta Srivastave, apologies for the inconvenience. We're sorry that you are facing issues. If the problem persists even after reinstalling kindly feel free to reach at redressal@kooapp.com or whatsapp us at 97608-35380 detailing the issue and we'll be sure to resolve the same. Thank you for taking time to write to us. ~Your Koo fam"", 'modified': '2021-09-18T10:37:26Z'}"
25,Krpr1092,13-03-2021 01:24,5,Pleasant and very easy to use. Recently downloaded in my iPad and noticed that it seems to display only portrait orientation. My other apps rotate when I rotate the screen. Not a big problem but could be a nice enhancement.,Tickles my consciousness whenever I use Koo,FALSE,"{'id': 21641095, 'body': 'Dear user,\nGreetings from Koo. For any feedback or complaint you can write to us at redressal@kooapp.com. Thank you for helping us in our journey in giving voice to Indians in their mother tongue with a 5 star.', 'modified': '2021-03-15T01:37:34Z'}"
26,Jatins311,11-02-2021 01:55,5,Amazing app!! Some bugs and glitches initially but after the latest update it is improving and getting better. Really Liked it. One request though Please add dark mode to the app.,Much better after the latest update,FALSE,
27,raghu anahosur,10-02-2021 16:50,2,"Seem to be teething issues. Website was giving 503 error(overloaded server) around 7pm. App was unable to send otp that time (related issue I believe). 
Finally able to register. 
Please make the current country as default selected in the drop down. For me it was showing US though I am in Bangalore. (May be its reading from App Store)
Unable to find people when I searched for Piyush Goel for example. 
How do I find the people ?",Teething issues,FALSE,
28,potatoIOS,10-02-2021 11:08,4,App is lovely also love the part that its made in India but there are some minor and trivial bugs here and there please try to fix them. I understand its hard to be a startup but its hampering the experience of user. would update my rating if I see improvements.,Love the app Still needs some improvements,FALSE,
29,Anilinkar,29-06-2021 10:21,5,"This App gives everything you need to share your ideas and messages across your family and friends. Instead of using rotten western woke social media apps, we Indians should support this app.",Our own Social Media app,FALSE,
30,sk.m94,29-05-2021 12:17,4,"Dear Developers, It’s great to see that you’re improving the app day by day but I am yet to see it working on iPad. I appreciate your effort and would love to see twitter leaving its monopoly on microblogging platform. Will rate 5 star only when you bring the app well working on iPad.",Yet to see working properly on iPad,FALSE,
31,Kozagigakos,29-08-2021 16:16,5,Found the App to be very user friendly even in the original version. Great to see that improvements that one would want to see are getting implemented soone enough.,Gets better every time.,FALSE,"{'id': 24817862, 'body': 'Hey user, thanks for the rating. We are glad you love the app, stay tuned for more amazing and unique features in the coming updates. Reach us at redressal@kooapp.com or whatsapp us at 97608-35380 for any feedback/ queries. Your friend, Saravanan\n', 'modified': '2021-08-31T05:54:06Z'}"
32,Anirban Chaudhary,13-02-2021 12:59,5,"Dear Koo Team, keep it up the good work and make it more better. 
Some features i really want in Koo which includes Lock profile and Dark mode. 🙏
And I think there is bug in the app. Six people have followed me but i only got the notification about 3 people.",Koo 🇮🇳,FALSE,
33,Udmux,14-02-2021 05:52,5,I read the past reviews and was extremely apprehensive but then once I started using and saw it supports English and log in hassle free I loved it. Though alternate log in with email should be made available . Rest fine.,Very nice app indeed,FALSE,
34,Malhotra Ash,10-02-2021 11:49,1,"Its ok to be a clone of twitter, but not an unimaginative copy. India is a vast repertoire of ideas & its difficult to understand that name, logo need to be similar. Twitter is all about ‘micro-blogging’ & its openness made it what it is today. The language chauvinism should be done away with. You may also copy/clone the WeChat feature of translation. & don’t get behind the excuse of being ‘new’ hence cannot implement all features at one-go. Guys, you had a working, well-tested, well-finetuned original to copy or clone.",Highly Unimaginative,FALSE,
35,sgharish,10-02-2021 03:39,4,The main thing that needs to be added is the option to sign in using email. This will be a really useful feature. (Would also love to have dark theme). Apart from this everything else is great.,Option to sign in with email,FALSE,
36,racharya,22-02-2021 05:33,5,"The app style looks dated. The card styles, button styles and the black colour on the edges look pretty bad.

But the overall experience has become smooth. Five stars rating for that.",Request to improve the design style,FALSE,"{'id': 21253919, 'body': 'Dear Acharya,\nGreetings from Koo. We have noted your concern and are happy to inform that we are already working on it. Due to the sudden spike in users, our team was busy handling traffic and hence the delay. Thank you for helping us in our journey in giving voice to Indians in their mother tongue.', 'modified': '2021-02-24T05:49:42Z'}"
37,AdiSrivaatava,09-07-2021 15:40,3,"Hi Koo team,

Wanted you to know under the “follower” section you are showing photo of the person who I am following and under the “following” section it is showing follower photos.

I don’t have your support email I’d otherwise I would have sent you a screenshot. Fix this issue asap!",Issue that needs to be addressed asap,FALSE,
38,Ish Jangra,10-02-2021 17:21,5,"Many peoples are complaining about No-option of English, but fact is that you can switch app into English- press Setting & enable Switch to English button.

Lets make this Initiative a Big Big Success 🇮🇳💪🏽","Proud Desi Koo-kad, Yes you can also switch to English",FALSE,
39,Ricos11,08-02-2021 13:36,5,"This is what I love about our beautiful Indian people. We know what is lacking and we always want to fix it! This is the best answer to a multilingual country. A place where every Indian has a say, a community to be a part of. I would call Koo... A super app!",Super App,FALSE,
40,Ganeshmallyap,12-02-2021 08:28,4,"Thank you for this app.  Two requests I have for the developers

1. Provide option to change text size in app.  By default they are too slmall to read on IOS device

2. Offer an option to choose newsfeed in multiple languages",Nice app,FALSE,
41,BeAResponsiblePlatform,10-06-2021 08:59,5,"Please add a feature to search for content using keywords. Must have a way to sort by latest and top koos. 

I primarily use microblogging platforms for search only",Please add a search feature,FALSE,
42,ioshello,15-02-2021 17:28,5,I am loving using Koo. It’s amazingly good for being just few months old. A little improvement on iOS app required. As you can use email sign in in androids but not for iOS app. Kindly allow that . Rest I am enjoying it to the fullest.,Love Swadeshi Koo,FALSE,
43,LK-G,18-11-2021 08:45,4,I like to use the app but it’s very difficult to read English tweets. Hindi tweets have a dark and bigger font than English ones. Maybe give the option to change for those who want to change it. Thanks,English font is dull and small,FALSE,"{'id': 26447383, 'body': ""Hi, thanks for your input. We're always looking for ways to improve the app experience. If you would like to share more, feel free to drop us an email at redressal@kooapp.com anytime! We look forward to hearing from you! ~Your friend, Saravanan"", 'modified': '2021-11-24T07:23:52Z'}"
44,Generous dragon grass,11-02-2021 19:20,4,"I cant full scree my videos and photos by just double clicking it neither can escape by just sliding up or down. Also I think there is some problem in sound with videos. Please work on it . 
Thanks.",Videos and photos improvement,FALSE,
45,AmitJishu,12-02-2021 12:31,4,"Hi Team, great work done. But there are lots bugs, get back on same pages again if click on other page, no pop or msg for notifications if any, slow ness, if like the koo from front hand than click on same koo for details show don’t like the same koo. Kindly do the needful.

Suggestions:-
1. Include auto correction in koo writing.
2. Include feature how many people saw your koo.
3. Include draft feature to save the koo if anyone want post it later. 
4. Include feature Make changes in the posted koo.
5. Include DM (Direct msg) feature.",Lots of Bugs,FALSE,
46,Sagar Khatod,09-02-2021 13:15,5,There’s lot ground to cover but very sure very early you will. Just hope you don’t silent the Nationalist platforms for any vested interests in future bvz the offers and pressure will be huge. Hope you will stand against it and stand by India n it’s voices... Good luck🇮🇳,Rising Made in India Star,FALSE,
47,fastn0ob,25-05-2021 18:16,2,"Some suggestions :

1. Add compactness in the elements or at least add an option by which we can control the compactness of the app. Just like Gmail, we can compact the UI of the mails, or loosen it as per our UI choice. As personal preference I like compact designs. They looks good and professional.

2. The UI doesn’t feel aesthetic to me. It looks like it's an app that is not created to build its identity but to substitute twitter in our country.

3. There are some bugs in the information section. For example, I can add one qualification, but after clicking on add new, I am entering the details, but nothing is happening when I am clicking on save.",Appreciate the effort but not upto the mark,FALSE,
48,Arihant Chennai,21-02-2021 18:27,5,I am trying to change the pic in my profile however it does not changes despite saving the new photo,Display Picture,FALSE,
49,GaneshPM,10-02-2021 02:50,5,"Thanks a lot for efforts taken to build this platform for us Bharatiya 🇮🇳. 
Please keep improving the platform and let us Bharatiy know if you need any help, I am very happy to donate too in case that is the hurdle. 
Thanks a lot again. 
Jay Hind.",Don’t ever stop this app and growing,FALSE,
50,reveal the known,02-09-2021 05:48,5,"Your app says it’s for 12+ but anyone can sign up, just a small request that you ask the age during sign up process, to build better credibility for the app.",Sign up,FALSE,"{'id': 24925035, 'body': ""Hey, thanks for the rating. We'll be sure to inform the product team about your suggestion. Thank you for taking time to write such a valuable suggestion. Please feel free to reach us at redressal@kooapp.com for any issue/query/suggestion. ~Your friend"", 'modified': '2021-09-06T05:02:06Z'}"
51,babhauria,10-02-2021 10:41,5,"Hy I am from germany. Could you please open this open for germany as well. Because i after I select country I am unable to add my Germany’s mobile number.  Increase the digit of entree mobile number .
Thanks",Open for germany,FALSE,
52,SandeepKsinghdba,09-02-2021 15:44,5,"Installed the the app, over all look and feel is good. 
Response time/ performance can be improved further.

All the best team Koo 😍🇮🇳",Over all look and feel are good. Just improve the response time,FALSE,
53,vp351986,12-02-2021 17:42,5,Require improvement on UI as well as features like sharing koo directly. Currently i am not able to share other social media tags via koo. Hope we get it soon,Good,FALSE,
54,Mali_mahavir,14-02-2021 15:33,4,"congrats team Koo..., overall its feel good to use the app .. still hope that your tech team working hard to approach every feature that should have in it ! i.e. media , pic editing and all that type .... again thanks","Nice app, need super finishing",FALSE,
55,Amrish pandey,29-08-2021 02:54,4,This app now looks so refined from earlier days. We need made in India app to fight against the tyranny of Twitter. Suggestion for improvement - please make like button bold when liking. It is not very clear at the moment.,Far improved app,FALSE,"{'id': 24817757, 'body': ""Hi Amrish Pandey, thank you for rating Koo. Glad you love the app. We will look into making the like button bolder. Could you detail this at redressal@kooapp.com as it will help our team understand it better. We will be sure to escalate this to our product team. We request your patience until then. Do rate us 5 stars if you're enjoying the app. ~ Your friend Saravanan. "", 'modified': '2021-08-31T05:50:03Z'}"
56,prasad.mohit2,08-01-2021 13:37,3,"Your app is very good but only one thing is very disappointing, it’s speed, which is very slow, thats is irritating while using, 
I open the app but because of speed i can not use
If you are replacement of twitter then please provide the service atleast half of them,",App is very slow,FALSE,"{'id': 20891971, 'body': 'Hi, \n\nWe have made improvements in UI and app performance. Kindly update the app to latest version. If you have any feedbacks, please share it with us via email to shrey@getvokal.com. If you enjoy the app,  please update the ratings to 5 stars. ', 'modified': '2021-02-06T04:38:45Z'}"
57,dhaumum,11-02-2021 16:39,3,Have downloaded the app on iOS phone and it shows - app can work on this phone . However not able to register- after entering mobile number and clicking on the “Send OTP “ page remain on the same.,Not able to Register,FALSE,
58,shvrmrdy,12-02-2021 20:28,5,App really looks good but I don’t know why my profile is logged out automatically and asking for OTP every time when I reopen the app. Please check.,Need improvement,FALSE,
59,Sohamy27,19-02-2021 09:59,3,"Why is the app not smooth like Twitter when scrolling through and why is there no auto-correct? This is very depressing, how did you guys possibly miss out the auto correct feature and please bring dark mode like on Twitter, this mode is killing our eyes.",No Auto-correct,FALSE,"{'id': 21201950, 'body': 'Dear Soham,\nWe have got 20 times more downloads than usual and due to this sudden spike in the users, our app became slow. This will improve in a few days. Also we are glad to inform that we are working on the features mentioned. Kindly help us in our journey in giving voice to every Indian in their mother tongue. If you are satisfied kindly help us with a 5 star to reach millions of fellow Indians like you.', 'modified': '2021-02-22T05:57:15Z'}"
60,Rosh223,15-02-2021 17:55,4,"The experience isn’t smooth. Even liking a post is arduous job, got work quickly to improve the user experience. When I takes so many taps to register a like",A lot to improve,FALSE,
61,Hemant Tripathi,11-02-2021 07:18,4,"It is good alternative to Twitter, although alot of improvement required like in search functionality or when you rekoo, previous messages comes like expanded.",Good app..lot of improvement needed,FALSE,
62,Moushmi Parmanik,12-02-2021 18:05,3,"Koo developers if you want to be successful in India you need serious improvements in the app , right from log in experience to UI that you have , which is extremely dull & slow .. every time I log in it asks for OTP , it can’t even auto read OTPs ? 

Look into the App asap",Need complete revamp,FALSE,"{'id': 21133152, 'body': ""Dear Moushmi Parmanik,\nGreetings from Koo App. Our apologies for the inconvenience. This issue has been resolved. We received 20 times more downloads than usual, due to this sudden spike the OTP system did not work for some users. You can try logging/reinstalling into the app again in case you haven't. If you are satisfied kindly help us with a 5 star to reach millions of fellow Indians like you. :-) Anything less than a 5 star will seriously reduce our reach. Reach out to us at Akhilesh@kooapp.com."", 'modified': '2021-02-18T08:22:34Z'}"
63,thenehuu,25-09-2020 08:03,5,"opening account should be with E-mail account not only with Phone Number.
and please include english language don’t be conservative",opening account,FALSE,
64,Rajawat's,05-06-2021 22:58,3,"The UI design of this app looks decade old. Could you please update the UI to latch with current trends. And who use yellow ( bright color) with white which is a mix of all color? Bring some contrast in UI which don’t hurt people eyes and easy to navigate. 
Thank you",UI need so much change,FALSE,
65,anandcp,17-06-2021 05:37,3,"The app works now. But when you reply or post a message, it doesn’t spellcheck. My iPhone has a keyboard that allows spellcheck. Koo doesn’t seem to use that and instead refuses to correct simple mistakes.
Plus need adjustable size fonts.",Works. But lacks spellcheck integrated into iOS,TRUE,"{'id': 21128471, 'body': ""Dear Anand,\nGreetings from Koo App. Our apologies for the inconvenience. This issue has been resolved. We received 20 times more downloads than usual, due to this sudden spike the OTP system did not work for some users. You can try logging/reinstalling into the app again in case you haven't. If you are satisfied kindly help us with a 5 star to reach millions of fellow indians like you. :-) Anything less than a 5 star will seriously reduce our reach. Reach out to us at Akhilesh@kooapp.com."", 'modified': '2021-06-17T05:37:56Z'}"
66,developerAP,22-07-2021 14:10,4,The app is crashing just after opening after the recent update. Please fix it as soon as possible.,App crashes in recent update,FALSE,
67,ysjfakyd,29-06-2021 17:35,5,This is an amazingly smooth app that also upholds the true freedom of fleece unlike twitter. Just hope for an iPad type version soon!,Request for iPad support please!,FALSE,
68,Devdegr8,15-02-2021 18:17,5,"No 5 star cuz am an Indian, but this is because am responsible to care my own data and privacy! Say no to #facebook #twitter #whatsapp #instagram and start using made in india to boost Indian firms!",Lets play safe and be protective!,FALSE,
69,abnigryb,25-02-2021 06:01,4,"A great 👍 initiative and feel proud that I am using home made micro blogging app. first of all accept my humble thanks 🙏🏻. 

I have few issues:-
1: It will be great if we could have the option of saving the images because photos posted on Koo are very informative. 

2: When I want to share a photo why I don’t find in share option (although I get WhatsApp,Twitter, Facebook, Instagram in option but not Koo)

 If I am not updated then do update me please.",How to save Photos ???,FALSE,
70,samp75,24-02-2021 10:10,5,Very nice initiative. Happy to see variety of languages you guys are working on. As an improvement would suggest that the UI be made more mobile-friendly.,Great Initiative,FALSE,"{'id': 21356785, 'body': 'Dear user,\nGreetings from Koo. We are happy to inform that we are already working towards improving the user experience. We experienced a sudden spike in the user base and hence the delay. Thank you for helping us in our journey in giving voice to Indians in their mother tongue.', 'modified': '2021-03-01T05:23:22Z'}"
71,BSandeep,11-02-2021 03:28,5,I tried logging in multiple times and it keep saying invalid otp. I generated new otp multiple times and still the same issue,Couldn’t login,FALSE,
72,skpaturu,11-02-2021 03:12,3,"Surprised to find that there’s no feedback mechanism! No contact of feedback/grievance team has been provided. Also, I request the team to map the regions accurately to the respective states. I am from Chittoor, Andhra Pradesh. However, while updating my location, it’s being displayed as Chittoor, Tamil Nadu!!!",No Feedback Mechanism!,FALSE,
73,adi_aithal,10-02-2021 12:49,5,"Hey team...

Not everyone would be comfortable to open a social media account by giving their contact info. I have only one number and I do not want to do so.
It would be great if you can add option of signing up using email also!!

Nevertheless giving 5 stars for the fantastic initiative 🔥
This will only get better with time...Im optimistic about this app....please please make us all proud 🙏🙏","Nice start, but plenty to improve!",FALSE,
74,SHARANINDIA,07-09-2021 03:29,5,I am here to supoort the Koo app because it made by Indian Entrepreneurs. As a Indian myself I definitely need to support it and will start using from now on and update the ratings based on the experience.,Koo vs Twitter,FALSE,
75,Rajbeer kr,05-06-2021 19:25,5,I would like to request team koo to bring translations from any Indian Languages to English so that non-regional speakers shall understand easily. Thanking you,Translation to English option,FALSE,
76,Da442211,07-05-2021 07:00,5,"I removed Twitter app and installed our koo because Twitter working with anti national elements.
We have a problem here we should publish about our app to improve downloads focus on it.",Review,FALSE,
77,sharanya_nidhi,10-02-2021 14:46,5,I am sure within few months it will grow like crazy. All the best for all the efforts u need to put in soon regarding updates etc 🙏🏼,Best replacement for twitter.,FALSE,
78,Preetam G S,08-08-2020 05:42,5,Hi Team am surprised n happy to use this application.. Applauds won't be enough from my end.. Request you to keep us updated by squashing bugs n adding upgrades... Lots of love..😍😍✌️👍,Brilliant efforts,FALSE,"{'id': 17666916, 'body': 'Thank you for your kind words 🙂', 'modified': '2020-09-03T08:33:51Z'}"
79,Anand Iphone,30-06-2021 03:24,5,"There is always room for develop, I like to see some silky improvements to app. I wish they’ll covered in future versions. 

Good work👨🏽‍💻",Enhancements to UI needed,FALSE,
80,..mol,23-02-2021 03:58,4,"Since, it is very new in the market, we get more than expected, thus can’t say much negative right now but must needed features:-
•Dark Mode
•Auto Spelling Correction
•Keyboard Suggestions",Excellent as a new application!,FALSE,"{'id': 21318046, 'body': 'Dear user,\nGreetings from Koo. Apologies for the inconvenience.  We are already working on the features you have mentioned. They will be made available in the coming updates. Help us in our journey in giving voices to Indians in their mother tongue with a 5 star.', 'modified': '2021-02-26T12:16:17Z'}"
